date,weekday,month,scheduled_departure,hour,origin,destination,train_type,weather,construction_work,is_rush_hour,is_weekend,delay_minutes,is_delayed
2023-01-02,Monday,1,2023-01-02 08:28,8,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,clear,True,True,False,6.3,True
2023-01-02,Monday,1,2023-01-02 12:07,12,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,snow,False,False,False,9.3,True
2023-01-02,Monday,1,2023-01-02 15:01,15,Berlin Hbf,Hamburg Hbf,ICE,snow,False,False,False,11.5,True
2023-01-02,Monday,1,2023-01-02 16:27,16,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,False,3.5,False
2023-01-02,Monday,1,2023-01-02 16:37,16,Leipzig Hbf,Dresden Hbf,RE,clear,False,False,False,3.2,False
2023-01-02,Monday,1,2023-01-02 16:40,16,Munich Hbf,Augsburg Hbf,RE,clear,True,False,False,0.3,False
2023-01-02,Monday,1,2023-01-02 16:55,16,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,rain,False,False,False,2.7,False
2023-01-02,Monday,1,2023-01-02 16:56,16,Cologne Hbf,Bonn Hbf,RE,clear,False,False,False,6.3,True
2023-01-02,Monday,1,2023-01-02 17:12,17,Munich Hbf,Augsburg Hbf,RE,rain,False,True,False,1.2,False
2023-01-02,Monday,1,2023-01-02 18:03,18,Leipzig Hbf,Dresden Hbf,RE,snow,False,True,False,46.9,True
2023-01-02,Monday,1,2023-01-02 19:12,19,Cologne Hbf,Berlin Hbf,ICE,clear,False,True,False,8.6,True
2023-01-02,Monday,1,2023-01-02 22:53,22,Munich Hbf,Augsburg Hbf,RE,snow,False,False,False,4.0,False
2023-01-03,Tuesday,1,2023-01-03 08:18,8,Leipzig Hbf,Dresden Hbf,RE,rain,False,True,False,2.5,False
2023-01-03,Tuesday,1,2023-01-03 08:26,8,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,snow,False,True,False,9.7,True
2023-01-03,Tuesday,1,2023-01-03 08:44,8,Munich Hbf,Augsburg Hbf,RE,snow,False,True,False,3.3,False
2023-01-03,Tuesday,1,2023-01-03 08:44,8,Munich Hbf,Augsburg Hbf,RE,rain,False,True,False,3.4,False
2023-01-03,Tuesday,1,2023-01-03 10:34,10,Hamburg Hbf,Hannover Hbf,IC,clear,False,False,False,5.7,True
2023-01-03,Tuesday,1,2023-01-03 11:33,11,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,False,2.3,False
2023-01-03,Tuesday,1,2023-01-03 12:50,12,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,snow,False,False,False,0.8,False
2023-01-03,Tuesday,1,2023-01-03 12:50,12,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,True,False,False,2.4,False
2023-01-03,Tuesday,1,2023-01-03 14:37,14,Cologne Hbf,Berlin Hbf,ICE,clear,False,False,False,7.6,True
2023-01-03,Tuesday,1,2023-01-03 15:14,15,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,snow,False,False,False,1.8,False
2023-01-03,Tuesday,1,2023-01-03 22:36,22,Cologne Hbf,Berlin Hbf,ICE,storm,False,False,False,6.1,True
2023-01-03,Tuesday,1,2023-01-03 22:57,22,Munich Hbf,Frankfurt(Main) Hbf,ICE,storm,False,False,False,8.1,True
2023-01-04,Wednesday,1,2023-01-04 06:02,6,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,False,False,1.5,False
2023-01-04,Wednesday,1,2023-01-04 07:54,7,Berlin Hbf,Potsdam Hbf,S-Bahn,clear,False,True,False,0.3,False
2023-01-04,Wednesday,1,2023-01-04 08:41,8,Berlin Hbf,Hamburg Hbf,ICE,clear,False,True,False,2.0,False
2023-01-04,Wednesday,1,2023-01-04 08:44,8,Munich Hbf,Augsburg Hbf,RE,rain,False,True,False,4.5,False
2023-01-04,Wednesday,1,2023-01-04 10:02,10,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,False,False,12.7,True
2023-01-04,Wednesday,1,2023-01-04 11:26,11,Munich Hbf,Augsburg Hbf,RE,clear,False,False,False,1.9,False
2023-01-04,Wednesday,1,2023-01-04 13:35,13,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,False,False,2.5,False
2023-01-04,Wednesday,1,2023-01-04 16:43,16,Hamburg Hbf,Hannover Hbf,IC,snow,True,False,False,6.9,True
2023-01-04,Wednesday,1,2023-01-04 17:28,17,Leipzig Hbf,Dresden Hbf,RE,clear,False,True,False,2.5,False
2023-01-04,Wednesday,1,2023-01-04 18:52,18,Berlin Hbf,Hamburg Hbf,ICE,rain,False,True,False,6.0,True
2023-01-04,Wednesday,1,2023-01-04 19:54,19,Cologne Hbf,Bonn Hbf,RE,snow,True,True,False,17.9,True
2023-01-04,Wednesday,1,2023-01-04 20:14,20,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,True,False,False,9.4,True
2023-01-05,Thursday,1,2023-01-05 05:44,5,Hamburg Hbf,Hannover Hbf,IC,rain,False,False,False,6.1,True
2023-01-05,Thursday,1,2023-01-05 08:36,8,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,False,True,False,1.0,False
2023-01-05,Thursday,1,2023-01-05 09:42,9,Leipzig Hbf,Dresden Hbf,RE,clear,False,False,False,1.0,False
2023-01-05,Thursday,1,2023-01-05 18:56,18,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,True,False,21.0,True
2023-01-05,Thursday,1,2023-01-05 19:16,19,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,storm,True,True,False,13.9,True
2023-01-05,Thursday,1,2023-01-05 19:59,19,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,True,False,8.8,True
2023-01-05,Thursday,1,2023-01-05 20:39,20,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,False,3.9,False
2023-01-06,Friday,1,2023-01-06 07:12,7,Cologne Hbf,Bonn Hbf,RE,clear,False,True,False,1.6,False
2023-01-06,Friday,1,2023-01-06 08:29,8,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,True,False,1.1,False
2023-01-06,Friday,1,2023-01-06 09:00,9,Cologne Hbf,Berlin Hbf,ICE,clear,False,False,False,1.4,False
2023-01-06,Friday,1,2023-01-06 17:23,17,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,False,True,False,50.9,True
2023-01-06,Friday,1,2023-01-06 17:30,17,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,True,True,False,0.6,False
2023-01-06,Friday,1,2023-01-06 17:32,17,Berlin Hbf,Hamburg Hbf,ICE,rain,False,True,False,9.0,True
2023-01-06,Friday,1,2023-01-06 17:58,17,Berlin Hbf,Hamburg Hbf,ICE,clear,False,True,False,3.1,False
2023-01-06,Friday,1,2023-01-06 18:19,18,Cologne Hbf,Berlin Hbf,ICE,clear,False,True,False,8.6,True
2023-01-06,Friday,1,2023-01-06 21:11,21,Hamburg Hbf,Hannover Hbf,IC,clear,False,False,False,1.9,False
2023-01-06,Friday,1,2023-01-06 21:37,21,Cologne Hbf,Berlin Hbf,ICE,clear,False,False,False,6.0,True
2023-01-06,Friday,1,2023-01-06 22:09,22,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,False,False,False,4.5,False
2023-01-07,Saturday,1,2023-01-07 06:18,6,Cologne Hbf,Berlin Hbf,ICE,snow,False,False,True,7.1,True
2023-01-07,Saturday,1,2023-01-07 09:04,9,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,snow,False,False,True,1.4,False
2023-01-07,Saturday,1,2023-01-07 10:33,10,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,snow,False,False,True,1.2,False
2023-01-07,Saturday,1,2023-01-07 13:24,13,Munich Hbf,Augsburg Hbf,RE,clear,False,False,True,1.3,False
2023-01-07,Saturday,1,2023-01-07 14:00,14,Cologne Hbf,Berlin Hbf,ICE,snow,True,False,True,8.6,True
2023-01-07,Saturday,1,2023-01-07 14:28,14,Leipzig Hbf,Dresden Hbf,RE,clear,False,False,True,1.1,False
2023-01-08,Sunday,1,2023-01-08 14:40,14,Hamburg Hbf,Hannover Hbf,IC,rain,False,False,True,3.9,False
2023-01-08,Sunday,1,2023-01-08 19:16,19,Berlin Hbf,Hamburg Hbf,ICE,rain,False,True,True,4.1,False
2023-01-08,Sunday,1,2023-01-08 22:02,22,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,False,False,True,2.6,False
2023-01-09,Monday,1,2023-01-09 05:42,5,Munich Hbf,Frankfurt(Main) Hbf,ICE,storm,False,False,False,10.2,True
2023-01-09,Monday,1,2023-01-09 07:12,7,Munich Hbf,Augsburg Hbf,RE,clear,False,True,False,0.4,False
2023-01-09,Monday,1,2023-01-09 08:15,8,Hamburg Hbf,Hannover Hbf,IC,snow,True,True,False,45.7,True
2023-01-09,Monday,1,2023-01-09 09:19,9,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,rain,False,False,False,2.6,False
2023-01-09,Monday,1,2023-01-09 11:30,11,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,True,False,False,10.6,True
2023-01-09,Monday,1,2023-01-09 13:40,13,Berlin Hbf,Hamburg Hbf,ICE,storm,False,False,False,9.7,True
2023-01-09,Monday,1,2023-01-09 14:17,14,Leipzig Hbf,Dresden Hbf,RE,clear,False,False,False,3.1,False
2023-01-09,Monday,1,2023-01-09 16:04,16,Cologne Hbf,Bonn Hbf,RE,rain,False,False,False,0.7,False
2023-01-09,Monday,1,2023-01-09 16:10,16,Munich Hbf,Augsburg Hbf,RE,snow,False,False,False,8.9,True
2023-01-09,Monday,1,2023-01-09 17:39,17,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,True,False,0.2,False
2023-01-09,Monday,1,2023-01-09 18:29,18,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,False,True,False,0.3,False
2023-01-09,Monday,1,2023-01-09 20:17,20,Hamburg Hbf,Hannover Hbf,IC,snow,False,False,False,2.0,False
2023-01-10,Tuesday,1,2023-01-10 10:43,10,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,True,False,False,18.7,True
2023-01-10,Tuesday,1,2023-01-10 13:02,13,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,clear,False,False,False,3.9,False
2023-01-10,Tuesday,1,2023-01-10 15:16,15,Leipzig Hbf,Dresden Hbf,RE,rain,False,False,False,3.6,False
2023-01-10,Tuesday,1,2023-01-10 17:55,17,Cologne Hbf,Bonn Hbf,RE,rain,False,True,False,8.3,True
2023-01-10,Tuesday,1,2023-01-10 18:30,18,Cologne Hbf,Berlin Hbf,ICE,storm,False,True,False,26.0,True
2023-01-10,Tuesday,1,2023-01-10 19:33,19,Cologne Hbf,Berlin Hbf,ICE,clear,False,True,False,4.5,False
2023-01-11,Wednesday,1,2023-01-11 07:47,7,Munich Hbf,Augsburg Hbf,RE,clear,False,True,False,3.0,False
2023-01-11,Wednesday,1,2023-01-11 08:18,8,Cologne Hbf,Berlin Hbf,ICE,clear,False,True,False,5.6,True
2023-01-11,Wednesday,1,2023-01-11 08:20,8,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,False,True,False,4.4,False
2023-01-11,Wednesday,1,2023-01-11 08:44,8,Hamburg Hbf,Hannover Hbf,IC,rain,False,True,False,6.3,True
2023-01-11,Wednesday,1,2023-01-11 08:53,8,Cologne Hbf,Bonn Hbf,RE,snow,False,True,False,1.5,False
2023-01-11,Wednesday,1,2023-01-11 13:00,13,Munich Hbf,Augsburg Hbf,RE,clear,False,False,False,0.8,False
2023-01-11,Wednesday,1,2023-01-11 13:13,13,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,False,False,False,0.5,False
2023-01-11,Wednesday,1,2023-01-11 18:15,18,Munich Hbf,Augsburg Hbf,RE,snow,True,True,False,6.8,True
2023-01-11,Wednesday,1,2023-01-11 18:29,18,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,False,True,False,0.4,False
2023-01-11,Wednesday,1,2023-01-11 20:48,20,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,4.6,False
2023-01-12,Thursday,1,2023-01-12 10:45,10,Munich Hbf,Augsburg Hbf,RE,clear,True,False,False,55.9,True
2023-01-12,Thursday,1,2023-01-12 12:36,12,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,2.1,False
2023-01-12,Thursday,1,2023-01-12 16:28,16,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,1.1,False
2023-01-12,Thursday,1,2023-01-12 19:49,19,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,False,True,False,7.1,True
2023-01-12,Thursday,1,2023-01-12 21:36,21,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,False,4.2,False
2023-01-13,Friday,1,2023-01-13 05:55,5,Cologne Hbf,Berlin Hbf,ICE,snow,False,False,False,12.3,True
2023-01-13,Friday,1,2023-01-13 06:25,6,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,False,False,2.0,False
2023-01-13,Friday,1,2023-01-13 07:53,7,Leipzig Hbf,Dresden Hbf,RE,snow,False,True,False,5.8,True
2023-01-13,Friday,1,2023-01-13 08:11,8,Berlin Hbf,Hamburg Hbf,ICE,rain,True,True,False,9.4,True
2023-01-13,Friday,1,2023-01-13 08:40,8,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,False,True,False,1.8,False
2023-01-13,Friday,1,2023-01-13 11:07,11,Leipzig Hbf,Dresden Hbf,RE,rain,False,False,False,0.2,False
2023-01-13,Friday,1,2023-01-13 13:01,13,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,2.6,False
2023-01-13,Friday,1,2023-01-13 14:09,14,Hamburg Hbf,Hannover Hbf,IC,clear,True,False,False,1.6,False
2023-01-13,Friday,1,2023-01-13 15:15,15,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,clear,False,False,False,2.1,False
2023-01-13,Friday,1,2023-01-13 15:37,15,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,False,False,1.0,False
2023-01-13,Friday,1,2023-01-13 17:47,17,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,True,True,False,1.7,False
2023-01-13,Friday,1,2023-01-13 18:40,18,Berlin Hbf,Hamburg Hbf,ICE,snow,False,True,False,7.6,True
2023-01-13,Friday,1,2023-01-13 19:29,19,Munich Hbf,Augsburg Hbf,RE,clear,False,True,False,5.0,False
2023-01-14,Saturday,1,2023-01-14 07:17,7,Hamburg Hbf,Hannover Hbf,IC,clear,False,True,True,0.8,False
2023-01-14,Saturday,1,2023-01-14 08:10,8,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,rain,False,True,True,1.5,False
2023-01-14,Saturday,1,2023-01-14 08:29,8,Leipzig Hbf,Dresden Hbf,RE,clear,False,True,True,0.1,False
2023-01-14,Saturday,1,2023-01-14 08:45,8,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,True,True,3.1,False
2023-01-14,Saturday,1,2023-01-14 12:44,12,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,True,8.4,True
2023-01-14,Saturday,1,2023-01-14 15:36,15,Cologne Hbf,Berlin Hbf,ICE,snow,False,False,True,11.5,True
2023-01-14,Saturday,1,2023-01-14 17:35,17,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,True,True,0.5,False
2023-01-14,Saturday,1,2023-01-14 17:49,17,Cologne Hbf,Bonn Hbf,RE,snow,False,True,True,6.8,True
2023-01-14,Saturday,1,2023-01-14 20:12,20,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,snow,False,False,True,1.6,False
2023-01-14,Saturday,1,2023-01-14 21:39,21,Cologne Hbf,Bonn Hbf,RE,snow,False,False,True,3.3,False
2023-01-15,Sunday,1,2023-01-15 07:07,7,Berlin Hbf,Hamburg Hbf,ICE,snow,False,True,True,8.9,True
2023-01-15,Sunday,1,2023-01-15 07:10,7,Berlin Hbf,Hamburg Hbf,ICE,storm,False,True,True,4.3,False
2023-01-15,Sunday,1,2023-01-15 09:39,9,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,False,False,True,2.1,False
2023-01-15,Sunday,1,2023-01-15 10:44,10,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,snow,False,False,True,6.3,True
2023-01-15,Sunday,1,2023-01-15 17:49,17,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,clear,False,True,True,1.3,False
2023-01-15,Sunday,1,2023-01-15 22:00,22,Cologne Hbf,Berlin Hbf,ICE,rain,False,False,True,4.8,False
2023-01-15,Sunday,1,2023-01-15 22:15,22,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,snow,False,False,True,9.5,True
2023-01-16,Monday,1,2023-01-16 06:56,6,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,False,False,2.5,False
2023-01-16,Monday,1,2023-01-16 10:30,10,Hamburg Hbf,Hannover Hbf,IC,rain,True,False,False,7.2,True
2023-01-16,Monday,1,2023-01-16 10:47,10,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,rain,False,False,False,4.8,False
2023-01-16,Monday,1,2023-01-16 12:34,12,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,False,4.1,False
2023-01-16,Monday,1,2023-01-16 12:39,12,Cologne Hbf,Berlin Hbf,ICE,rain,False,False,False,4.1,False
2023-01-16,Monday,1,2023-01-16 14:00,14,Hamburg Hbf,Hannover Hbf,IC,clear,True,False,False,1.5,False
2023-01-16,Monday,1,2023-01-16 15:13,15,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,False,False,3.0,False
2023-01-16,Monday,1,2023-01-16 16:17,16,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,False,False,False,5.5,True
2023-01-16,Monday,1,2023-01-16 17:03,17,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,snow,False,True,False,13.0,True
2023-01-16,Monday,1,2023-01-16 18:55,18,Cologne Hbf,Bonn Hbf,RE,snow,False,True,False,3.2,False
2023-01-16,Monday,1,2023-01-16 20:42,20,Cologne Hbf,Bonn Hbf,RE,rain,False,False,False,2.5,False
2023-01-17,Tuesday,1,2023-01-17 05:39,5,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,clear,False,False,False,3.0,False
2023-01-17,Tuesday,1,2023-01-17 05:40,5,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,False,False,False,10.1,True
2023-01-17,Tuesday,1,2023-01-17 07:02,7,Cologne Hbf,Bonn Hbf,RE,snow,False,True,False,7.2,True
2023-01-17,Tuesday,1,2023-01-17 08:10,8,Munich Hbf,Frankfurt(Main) Hbf,ICE,clear,False,True,False,7.3,True
2023-01-17,Tuesday,1,2023-01-17 08:59,8,Cologne Hbf,Bonn Hbf,RE,snow,False,True,False,2.7,False
2023-01-17,Tuesday,1,2023-01-17 11:00,11,Berlin Hbf,Hamburg Hbf,ICE,rain,True,False,False,5.6,True
2023-01-17,Tuesday,1,2023-01-17 11:45,11,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,False,False,17.1,True
2023-01-17,Tuesday,1,2023-01-17 15:39,15,Munich Hbf,Frankfurt(Main) Hbf,ICE,clear,False,False,False,4.6,False
2023-01-17,Tuesday,1,2023-01-17 16:09,16,Cologne Hbf,Bonn Hbf,RE,rain,False,False,False,1.2,False
2023-01-17,Tuesday,1,2023-01-17 16:54,16,Leipzig Hbf,Dresden Hbf,RE,snow,False,False,False,2.4,False
2023-01-17,Tuesday,1,2023-01-17 17:04,17,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,False,True,False,4.1,False
2023-01-17,Tuesday,1,2023-01-17 17:36,17,Berlin Hbf,Hamburg Hbf,ICE,rain,False,True,False,3.1,False
2023-01-17,Tuesday,1,2023-01-17 19:19,19,Munich Hbf,Frankfurt(Main) Hbf,ICE,clear,False,True,False,9.4,True
2023-01-17,Tuesday,1,2023-01-17 21:44,21,Berlin Hbf,Potsdam Hbf,S-Bahn,snow,False,False,False,1.2,False
2023-01-17,Tuesday,1,2023-01-17 21:45,21,Frankfurt(Main) Hbf,Stuttgart Hbf,IC,rain,False,False,False,2.3,False
2023-01-18,Wednesday,1,2023-01-18 07:09,7,Cologne Hbf,Bonn Hbf,RE,rain,False,True,False,1.0,False
2023-01-18,Wednesday,1,2023-01-18 14:06,14,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,6.6,True
2023-01-18,Wednesday,1,2023-01-18 17:09,17,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,storm,True,True,False,1.8,False
2023-01-18,Wednesday,1,2023-01-18 17:53,17,Leipzig Hbf,Dresden Hbf,RE,rain,False,True,False,2.0,False
2023-01-18,Wednesday,1,2023-01-18 19:10,19,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,True,False,7.8,True
2023-01-18,Wednesday,1,2023-01-18 19:23,19,Berlin Hbf,Hamburg Hbf,ICE,snow,False,True,False,8.2,True
2023-01-18,Wednesday,1,2023-01-18 19:58,19,Berlin Hbf,Potsdam Hbf,S-Bahn,rain,False,True,False,1.1,False
2023-01-19,Thursday,1,2023-01-19 05:10,5,Cologne Hbf,Berlin Hbf,ICE,rain,False,False,False,7.1,True
2023-01-19,Thursday,1,2023-01-19 06:46,6,Leipzig Hbf,Dresden Hbf,RE,rain,True,False,False,4.2,False
2023-01-19,Thursday,1,2023-01-19 06:59,6,Hamburg Hbf,Hannover Hbf,IC,clear,True,False,False,5.9,True
2023-01-19,Thursday,1,2023-01-19 07:01,7,Hamburg Hbf,Hannover Hbf,IC,clear,False,True,False,4.2,False
2023-01-19,Thursday,1,2023-01-19 07:55,7,Hamburg Hbf,Hannover Hbf,IC,rain,False,True,False,4.3,False
2023-01-19,Thursday,1,2023-01-19 11:52,11,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,rain,False,False,False,0.6,False
2023-01-19,Thursday,1,2023-01-19 13:27,13,Berlin Hbf,Hamburg Hbf,ICE,snow,True,False,False,13.2,True
2023-01-19,Thursday,1,2023-01-19 14:59,14,Munich Hbf,Frankfurt(Main) Hbf,ICE,rain,False,False,False,3.7,False
2023-01-19,Thursday,1,2023-01-19 16:13,16,Hamburg Hbf,Hannover Hbf,IC,rain,True,False,False,7.5,True
2023-01-19,Thursday,1,2023-01-19 17:05,17,Hamburg Hbf,Hannover Hbf,IC,clear,False,True,False,2.3,False
2023-01-19,Thursday,1,2023-01-19 17:38,17,Leipzig Hbf,Dresden Hbf,RE,rain,False,True,False,4.4,False
2023-01-19,Thursday,1,2023-01-19 17:43,17,Cologne Hbf,Bonn Hbf,RE,clear,False,True,False,1.3,False
2023-01-19,Thursday,1,2023-01-19 19:51,19,Cologne Hbf,Berlin Hbf,ICE,snow,False,True,False,15.4,True
2023-01-20,Friday,1,2023-01-20 08:57,8,Cologne Hbf,Berlin Hbf,ICE,clear,False,True,False,6.4,True
2023-01-20,Friday,1,2023-01-20 09:02,9,Cologne Hbf,Bonn Hbf,RE,snow,False,False,False,1.4,False
2023-01-20,Friday,1,2023-01-20 09:40,9,Munich Hbf,Augsburg Hbf,RE,clear,True,False,False,1.6,False
2023-01-20,Friday,1,2023-01-20 10:29,10,Leipzig Hbf,Dresden Hbf,RE,rain,False,False,False,1.6,False
2023-01-20,Friday,1,2023-01-20 11:36,11,Hamburg Hbf,Hannover Hbf,IC,clear,False,False,False,1.9,False
2023-01-20,Friday,1,2023-01-20 14:49,14,Leipzig Hbf,Dresden Hbf,RE,rain,True,False,False,4.9,False
2023-01-20,Friday,1,2023-01-20 17:03,17,Berlin Hbf,Potsdam Hbf,S-Bahn,clear,False,True,False,1.3,False
2023-01-20,Friday,1,2023-01-20 18:44,18,Berlin Hbf,Hamburg Hbf,ICE,snow,False,True,False,12.7,True
2023-01-20,Friday,1,2023-01-20 19:00,19,Cologne Hbf,Berlin Hbf,ICE,snow,False,True,False,12.4,True
2023-01-20,Friday,1,2023-01-20 22:04,22,Berlin Hbf,Hamburg Hbf,ICE,snow,False,False,False,10.6,True
2023-01-21,Saturday,1,2023-01-21 05:36,5,Hamburg Hbf,Hannover Hbf,IC,snow,False,False,True,7.8,True
2023-01-21,Saturday,1,2023-01-21 07:25,7,Berlin Hbf,Potsdam Hbf,S-Bahn,clear,False,True,True,3.0,False
2023-01-21,Saturday,1,2023-01-21 07:29,7,Berlin Hbf,Potsdam Hbf,S-Bahn,clear,False,True,True,1.4,False
2023-01-21,Saturday,1,2023-01-21 07:36,7,Cologne Hbf,Bonn Hbf,RE,snow,False,True,True,9.8,True
2023-01-21,Saturday,1,2023-01-21 16:17,16,Munich Hbf,Frankfurt(Main) Hbf,ICE,snow,False,False,True,4.8,False
2023-01-21,Saturday,1,2023-01-21 22:24,22,Leipzig Hbf,Dresden Hbf,RE,snow,True,False,True,9.9,True
2023-01-22,Sunday,1,2023-01-22 05:31,5,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,True,3.9,False
2023-01-22,Sunday,1,2023-01-22 08:36,8,Frankfurt(Main) Hbf,Mainz Hbf,S-Bahn,snow,False,True,True,1.8,False
2023-01-22,Sunday,1,2023-01-22 09:07,9,Berlin Hbf,Hamburg Hbf,ICE,clear,False,False,True,2.9,False
2023-01-22,Sunday,1,2023-01-22 11:55,11,Cologne Hbf,Berlin Hbf,ICE,snow,False,False,True,9.5,True
2023-01-22,Sunday,1,2023-01-22 13:25,13,Leipzig Hbf,Dresden Hbf,RE,snow,False,False,True,9.1,True
2023-01-22,Sunday,1,2023-01-22 14:24,14,Cologne Hbf,Bonn Hbf,RE,clear,False,False,True,2.4,False
2023-01-22,Sunday,1,2023-01-22 15:54,15,Cologne Hbf,Bonn Hbf,RE,snow,False,False,True,7.1,True
